pid	track	assay	arm	level	usable	depth_reads	depth_log2	read_length	run_type_pe	dedup_on	mapq_thresh	has_control	control_fraction	ratio_k	ctl_identity	control_reads	control_depth_log2	extsize_k	fraglen_bp	src_depth	src_read_length	src_run_type	src_dedup	src_mapq	src_control_fraction	src_ratio_k	src_ctl_identity	src_control_depth	src_extsize_k	src_fraglen
C07M20__depth__15M	C07M20	H3K4me1	depth	15M	1	15000000	23.838459164932694	101	0	1	30	1	0.0	1.0	matched	160028104	27.253750051342394	1.0	215	manifest:depth	manifest:read_length	manifest:run_type	chip.wdl v2.2.2 default L178 no_dup_removal = false (picard)	chip.wdl v2.2.2 default L179 mapq_thresh = 30	tools/t112/arms.py:abproxy_n_ctl (off this arm no control read is mixed in)	tools/t112/bam_arm.py:ratio_for (k = 1 is MACS2's own scaling)	covariates.json:control.source	covariates.json:control.reads	tools/t112/arms.py:knob_value (k = 1: the base fraglen)	manifest:fraglen
C07M20__depth__3.75M	C07M20	H3K4me1	depth	3.75M	1	3750000	21.838459164932694	101	0	1	30	1	0.0	1.0	matched	160028104	27.253750051342394	1.0	215	manifest:depth	manifest:read_length	manifest:run_type	chip.wdl v2.2.2 default L178 no_dup_removal = false (picard)	chip.wdl v2.2.2 default L179 mapq_thresh = 30	tools/t112/arms.py:abproxy_n_ctl (off this arm no control read is mixed in)	tools/t112/bam_arm.py:ratio_for (k = 1 is MACS2's own scaling)	covariates.json:control.source	covariates.json:control.reads	tools/t112/arms.py:knob_value (k = 1: the base fraglen)	manifest:fraglen
C07M20__depth__7.5M	C07M20	H3K4me1	depth	7.5M	1	7500000	22.838459164932694	101	0	1	30	1	0.0	1.0	matched	160028104	27.253750051342394	1.0	215	manifest:depth	manifest:read_length	manifest:run_type	chip.wdl v2.2.2 default L178 no_dup_removal = false (picard)	chip.wdl v2.2.2 default L179 mapq_thresh = 30	tools/t112/arms.py:abproxy_n_ctl (off this arm no control read is mixed in)	tools/t112/bam_arm.py:ratio_for (k = 1 is MACS2's own scaling)	covariates.json:control.source	covariates.json:control.reads	tools/t112/arms.py:knob_value (k = 1: the base fraglen)	manifest:fraglen
C07M20__extsize__k0.5	C07M20	H3K4me1	extsize	k0.5	1	30000000	24.838459164932694	101	0	1	30	1	0.0	1.0	matched	160028104	27.253750051342394	0.5	108	manifest:depth	manifest:read_length	manifest:run_type	chip.wdl v2.2.2 default L178 no_dup_removal = false (picard)	chip.wdl v2.2.2 default L179 mapq_thresh = 30	tools/t112/arms.py:abproxy_n_ctl (off this arm no control read is mixed in)	tools/t112/bam_arm.py:ratio_for (k = 1 is MACS2's own scaling)	covariates.json:control.source	covariates.json:control.reads	manifest:level (fraglen = k x base fraglen)	manifest:fraglen
C07M20__extsize__k2	C07M20	H3K4me1	extsize	k2	1	30000000	24.838459164932694	101	0	1	30	1	0.0	1.0	matched	160028104	27.253750051342394	2.0	430	manifest:depth	manifest:read_length	manifest:run_type	chip.wdl v2.2.2 default L178 no_dup_removal = false (picard)	chip.wdl v2.2.2 default L179 mapq_thresh = 30	tools/t112/arms.py:abproxy_n_ctl (off this arm no control read is mixed in)	tools/t112/bam_arm.py:ratio_for (k = 1 is MACS2's own scaling)	covariates.json:control.source	covariates.json:control.reads	manifest:level (fraglen = k x base fraglen)	manifest:fraglen
C07M20__mapq__0	C07M20	H3K4me1	mapq	0	1	30000000	24.838459164932694	101	0	1	0	1	0.0	1.0	matched	175706994	27.388596377925513	1.0	220	manifest:depth	manifest:read_length	manifest:run_type	chip.wdl v2.2.2 default L178 no_dup_removal = false (picard)	manifest:knob_value (chip.mapq_thresh)	tools/t112/arms.py:abproxy_n_ctl (off this arm no control read is mixed in)	tools/t112/bam_arm.py:ratio_for (k = 1 is MACS2's own scaling)	covariates.json:control.source	covariates.json:control.reads	tools/t112/arms.py:knob_value (k = 1: the base fraglen)	manifest:fraglen
C07M20__mapq__10	C07M20	H3K4me1	mapq	10	1	30000000	24.838459164932694	101	0	1	10	1	0.0	1.0	matched	164313902	27.291879305716694	1.0	230	manifest:depth	manifest:read_length	manifest:run_type	chip.wdl v2.2.2 default L178 no_dup_removal = false (picard)	manifest:knob_value (chip.mapq_thresh)	tools/t112/arms.py:abproxy_n_ctl (off this arm no control read is mixed in)	tools/t112/bam_arm.py:ratio_for (k = 1 is MACS2's own scaling)	covariates.json:control.source	covariates.json:control.reads	tools/t112/arms.py:knob_value (k = 1: the base fraglen)	manifest:fraglen
C07M20__pe__pe	C07M20	H3K4me1	pe	pe	1	30000000	24.838459164932694	101	1	1	30	1	0.0	1.0	matched	156527070	27.221836939436077	1.0	220	manifest:depth	manifest:read_length	manifest:run_type	chip.wdl v2.2.2 default L178 no_dup_removal = false (picard)	chip.wdl v2.2.2 default L179 mapq_thresh = 30	tools/t112/arms.py:abproxy_n_ctl (off this arm no control read is mixed in)	tools/t112/bam_arm.py:ratio_for (k = 1 is MACS2's own scaling)	covariates.json:control.source	covariates.json:control.reads	tools/t112/arms.py:knob_value (k = 1: the base fraglen)	manifest:fraglen
C07M20__ratio__k0.5	C07M20	H3K4me1	ratio	k0.5	1	30000000	24.838459164932694	101	0	1	30	1	0.0	0.5	matched	160028104	27.253750051342394	1.0	215	manifest:depth	manifest:read_length	manifest:run_type	chip.wdl v2.2.2 default L178 no_dup_removal = false (picard)	chip.wdl v2.2.2 default L179 mapq_thresh = 30	tools/t112/arms.py:abproxy_n_ctl (off this arm no control read is mixed in)	tools/t112/bam_arm.py:ratio_for (k from manifest:level)	covariates.json:control.source	covariates.json:control.reads	tools/t112/arms.py:knob_value (k = 1: the base fraglen)	manifest:fraglen
C07M20__ratio__k2	C07M20	H3K4me1	ratio	k2	1	30000000	24.838459164932694	101	0	1	30	1	0.0	2.0	matched	160028104	27.253750051342394	1.0	215	manifest:depth	manifest:read_length	manifest:run_type	chip.wdl v2.2.2 default L178 no_dup_removal = false (picard)	chip.wdl v2.2.2 default L179 mapq_thresh = 30	tools/t112/arms.py:abproxy_n_ctl (off this arm no control read is mixed in)	tools/t112/bam_arm.py:ratio_for (k from manifest:level)	covariates.json:control.source	covariates.json:control.reads	tools/t112/arms.py:knob_value (k = 1: the base fraglen)	manifest:fraglen
C07M29__abproxy__f0.5	C07M29	H3K9me3	abproxy	f0.5	1	30000000	24.838459164932694	101	0	1	30	1	0.5	1.0	matched	160028104	27.253750051342394	1.0	200	manifest:depth	manifest:read_length	manifest:run_type	chip.wdl v2.2.2 default L178 no_dup_removal = false (picard)	chip.wdl v2.2.2 default L179 mapq_thresh = 30	manifest:knob_value (control_read_fraction)	tools/t112/bam_arm.py:ratio_for (k = 1 is MACS2's own scaling)	covariates.json:control.source	covariates.json:control.reads	tools/t112/arms.py:knob_value (k = 1: the base fraglen)	manifest:fraglen
C07M29__abproxy__f0.9	C07M29	H3K9me3	abproxy	f0.9	1	30000000	24.838459164932694	101	0	1	30	1	0.9	1.0	matched	160028104	27.253750051342394	1.0	200	manifest:depth	manifest:read_length	manifest:run_type	chip.wdl v2.2.2 default L178 no_dup_removal = false (picard)	chip.wdl v2.2.2 default L179 mapq_thresh = 30	manifest:knob_value (control_read_fraction)	tools/t112/bam_arm.py:ratio_for (k = 1 is MACS2's own scaling)	covariates.json:control.source	covariates.json:control.reads	tools/t112/arms.py:knob_value (k = 1: the base fraglen)	manifest:fraglen
C07M29__base__base	C07M29	H3K9me3	base	base	1	30000000	24.838459164932694	101	0	1	30	1	0.0	1.0	matched	160028104	27.253750051342394	1.0	200	manifest:depth	manifest:read_length	manifest:run_type	chip.wdl v2.2.2 default L178 no_dup_removal = false (picard)	chip.wdl v2.2.2 default L179 mapq_thresh = 30	tools/t112/arms.py:abproxy_n_ctl (off this arm no control read is mixed in)	tools/t112/bam_arm.py:ratio_for (k = 1 is MACS2's own scaling)	covariates.json:control.source	covariates.json:control.reads	tools/t112/arms.py:knob_value (k = 1: the base fraglen)	manifest:fraglen
C07M29__crop__36	C07M29	H3K9me3	crop	36	1	30000000	24.838459164932694	36	0	1	30	1	0.0	1.0	matched	143818699	27.099676023198437	1.0	200	manifest:depth	manifest:read_length	manifest:run_type	chip.wdl v2.2.2 default L178 no_dup_removal = false (picard)	chip.wdl v2.2.2 default L179 mapq_thresh = 30	tools/t112/arms.py:abproxy_n_ctl (off this arm no control read is mixed in)	tools/t112/bam_arm.py:ratio_for (k = 1 is MACS2's own scaling)	covariates.json:control.source	covariates.json:control.reads	tools/t112/arms.py:knob_value (k = 1: the base fraglen)	manifest:fraglen
C07M29__crop__50	C07M29	H3K9me3	crop	50	1	30000000	24.838459164932694	50	0	1	30	1	0.0	1.0	matched	153412666	27.19284235811338	1.0	200	manifest:depth	manifest:read_length	manifest:run_type	chip.wdl v2.2.2 default L178 no_dup_removal = false (picard)	chip.wdl v2.2.2 default L179 mapq_thresh = 30	tools/t112/arms.py:abproxy_n_ctl (off this arm no control read is mixed in)	tools/t112/bam_arm.py:ratio_for (k = 1 is MACS2's own scaling)	covariates.json:control.source	covariates.json:control.reads	tools/t112/arms.py:knob_value (k = 1: the base fraglen)	manifest:fraglen
C07M29__ctldepth__q0.25	C07M29	H3K9me3	ctldepth	q0.25	1	30000000	24.838459164932694	101	0	1	30	1	0.0	1.0	matched	40007026	25.253750051342394	1.0	200	manifest:depth	manifest:read_length	manifest:run_type	chip.wdl v2.2.2 default L178 no_dup_removal = false (picard)	chip.wdl v2.2.2 default L179 mapq_thresh = 30	tools/t112/arms.py:abproxy_n_ctl (off this arm no control read is mixed in)	tools/t112/bam_arm.py:ratio_for (k = 1 is MACS2's own scaling)	covariates.json:control.source	covariates.json:control.reads	tools/t112/arms.py:knob_value (k = 1: the base fraglen)	manifest:fraglen
C07M29__ctldepth__q0.5	C07M29	H3K9me3	ctldepth	q0.5	1	30000000	24.838459164932694	101	0	1	30	1	0.0	1.0	matched	80014052	26.253750051342394	1.0	200	manifest:depth	manifest:read_length	manifest:run_type	chip.wdl v2.2.2 default L178 no_dup_removal = false (picard)	chip.wdl v2.2.2 default L179 mapq_thresh = 30	tools/t112/arms.py:abproxy_n_ctl (off this arm no control read is mixed in)	tools/t112/bam_arm.py:ratio_for (k = 1 is MACS2's own scaling)	covariates.json:control.source	covariates.json:control.reads	tools/t112/arms.py:knob_value (k = 1: the base fraglen)	manifest:fraglen
C07M29__ctlid__none	C07M29	H3K9me3	ctlid	none	1	30000000	24.838459164932694	101	0	1	30	0	0.0	0.0	none	0	0.0	1.0	200	manifest:depth	manifest:read_length	manifest:run_type	chip.wdl v2.2.2 default L178 no_dup_removal = false (picard)	chip.wdl v2.2.2 default L179 mapq_thresh = 30	none: no control	none: no control	none: no control	none: no control	tools/t112/arms.py:knob_value (k = 1: the base fraglen)	manifest:fraglen
C07M29__ctlid__other	C07M29	H3K9me3	ctlid	other	1	30000000	24.838459164932694	101	0	1	30	1	0.0	1.0	other	107039349	26.673566005925892	1.0	200	manifest:depth	manifest:read_length	manifest:run_type	chip.wdl v2.2.2 default L178 no_dup_removal = false (picard)	chip.wdl v2.2.2 default L179 mapq_thresh = 30	tools/t112/arms.py:abproxy_n_ctl (off this arm no control read is mixed in)	tools/t112/bam_arm.py:ratio_for (k = 1 is MACS2's own scaling)	covariates.json:control.source	covariates.json:control.reads	tools/t112/arms.py:knob_value (k = 1: the base fraglen)	manifest:fraglen
C07M29__dedup__off	C07M29	H3K9me3	dedup	off	1	30000000	24.838459164932694	101	0	0	30	1	0.0	1.0	matched	200843119	27.581493793772644	1.0	200	manifest:depth	manifest:read_length	manifest:run_type	manifest:knob_value (chip.no_dup_removal)	chip.wdl v2.2.2 default L179 mapq_thresh = 30	tools/t112/arms.py:abproxy_n_ctl (off this arm no control read is mixed in)	tools/t112/bam_arm.py:ratio_for (k = 1 is MACS2's own scaling)	covariates.json:control.source	covariates.json:control.reads	tools/t112/arms.py:knob_value (k = 1: the base fraglen)	manifest:fraglen
C07M29__depth__15M	C07M29	H3K9me3	depth	15M	1	15000000	23.838459164932694	101	0	1	30	1	0.0	1.0	matched	160028104	27.253750051342394	1.0	200	manifest:depth	manifest:read_length	manifest:run_type	chip.wdl v2.2.2 default L178 no_dup_removal = false (picard)	chip.wdl v2.2.2 default L179 mapq_thresh = 30	tools/t112/arms.py:abproxy_n_ctl (off this arm no control read is mixed in)	tools/t112/bam_arm.py:ratio_for (k = 1 is MACS2's own scaling)	covariates.json:control.source	covariates.json:control.reads	tools/t112/arms.py:knob_value (k = 1: the base fraglen)	manifest:fraglen
C07M29__depth__3.75M	C07M29	H3K9me3	depth	3.75M	1	3750000	21.838459164932694	101	0	1	30	1	0.0	1.0	matched	160028104	27.253750051342394	1.0	200	manifest:depth	manifest:read_length	manifest:run_type	chip.wdl v2.2.2 default L178 no_dup_removal = false (picard)	chip.wdl v2.2.2 default L179 mapq_thresh = 30	tools/t112/arms.py:abproxy_n_ctl (off this arm no control read is mixed in)	tools/t112/bam_arm.py:ratio_for (k = 1 is MACS2's own scaling)	covariates.json:control.source	covariates.json:control.reads	tools/t112/arms.py:knob_value (k = 1: the base fraglen)	manifest:fraglen
C07M29__depth__7.5M	C07M29	H3K9me3	depth	7.5M	1	7500000	22.838459164932694	101	0	1	30	1	0.0	1.0	matched	160028104	27.253750051342394	1.0	200	manifest:depth	manifest:read_length	manifest:run_type	chip.wdl v2.2.2 default L178 no_dup_removal = false (picard)	chip.wdl v2.2.2 default L179 mapq_thresh = 30	tools/t112/arms.py:abproxy_n_ctl (off this arm no control read is mixed in)	tools/t112/bam_arm.py:ratio_for (k = 1 is MACS2's own scaling)	covariates.json:control.source	covariates.json:control.reads	tools/t112/arms.py:knob_value (k = 1: the base fraglen)	manifest:fraglen
C07M29__extsize__k0.5	C07M29	H3K9me3	extsize	k0.5	1	30000000	24.838459164932694	101	0	1	30	1	0.0	1.0	matched	160028104	27.253750051342394	0.5	100	manifest:depth	manifest:read_length	manifest:run_type	chip.wdl v2.2.2 default L178 no_dup_removal = false (picard)	chip.wdl v2.2.2 default L179 mapq_thresh = 30	tools/t112/arms.py:abproxy_n_ctl (off this arm no control read is mixed in)	tools/t112/bam_arm.py:ratio_for (k = 1 is MACS2's own scaling)	covariates.json:control.source	covariates.json:control.reads	manifest:level (fraglen = k x base fraglen)	manifest:fraglen
C07M29__extsize__k2	C07M29	H3K9me3	extsize	k2	1	30000000	24.838459164932694	101	0	1	30	1	0.0	1.0	matched	160028104	27.253750051342394	2.0	400	manifest:depth	manifest:read_length	manifest:run_type	chip.wdl v2.2.2 default L178 no_dup_removal = false (picard)	chip.wdl v2.2.2 default L179 mapq_thresh = 30	tools/t112/arms.py:abproxy_n_ctl (off this arm no control read is mixed in)	tools/t112/bam_arm.py:ratio_for (k = 1 is MACS2's own scaling)	covariates.json:control.source	covariates.json:control.reads	manifest:level (fraglen = k x base fraglen)	manifest:fraglen
C07M29__mapq__0	C07M29	H3K9me3	mapq	0	1	30000000	24.838459164932694	101	0	1	0	1	0.0	1.0	matched	175706994	27.388596377925513	1.0	225	manifest:depth	manifest:read_length	manifest:run_type	chip.wdl v2.2.2 default L178 no_dup_removal = false (picard)	manifest:knob_value (chip.mapq_thresh)	tools/t112/arms.py:abproxy_n_ctl (off this arm no control read is mixed in)	tools/t112/bam_arm.py:ratio_for (k = 1 is MACS2's own scaling)	covariates.json:control.source	covariates.json:control.reads	tools/t112/arms.py:knob_value (k = 1: the base fraglen)	manifest:fraglen
C07M29__mapq__10	C07M29	H3K9me3	mapq	10	1	30000000	24.838459164932694	101	0	1	10	1	0.0	1.0	matched	164313902	27.291879305716694	1.0	195	manifest:depth	manifest:read_length	manifest:run_type	chip.wdl v2.2.2 default L178 no_dup_removal = false (picard)	manifest:knob_value (chip.mapq_thresh)	tools/t112/arms.py:abproxy_n_ctl (off this arm no control read is mixed in)	tools/t112/bam_arm.py:ratio_for (k = 1 is MACS2's own scaling)	covariates.json:control.source	covariates.json:control.reads	tools/t112/arms.py:knob_value (k = 1: the base fraglen)	manifest:fraglen
C07M29__pe__pe	C07M29	H3K9me3	pe	pe	1	30000000	24.838459164932694	101	1	1	30	1	0.0	1.0	matched	156527070	27.221836939436077	1.0	210	manifest:depth	manifest:read_length	manifest:run_type	chip.wdl v2.2.2 default L178 no_dup_removal = false (picard)	chip.wdl v2.2.2 default L179 mapq_thresh = 30	tools/t112/arms.py:abproxy_n_ctl (off this arm no control read is mixed in)	tools/t112/bam_arm.py:ratio_for (k = 1 is MACS2's own scaling)	covariates.json:control.source	covariates.json:control.reads	tools/t112/arms.py:knob_value (k = 1: the base fraglen)	manifest:fraglen
C07M29__ratio__k0.5	C07M29	H3K9me3	ratio	k0.5	1	30000000	24.838459164932694	101	0	1	30	1	0.0	0.5	matched	160028104	27.253750051342394	1.0	200	manifest:depth	manifest:read_length	manifest:run_type	chip.wdl v2.2.2 default L178 no_dup_removal = false (picard)	chip.wdl v2.2.2 default L179 mapq_thresh = 30	tools/t112/arms.py:abproxy_n_ctl (off this arm no control read is mixed in)	tools/t112/bam_arm.py:ratio_for (k from manifest:level)	covariates.json:control.source	covariates.json:control.reads	tools/t112/arms.py:knob_value (k = 1: the base fraglen)	manifest:fraglen
C07M29__ratio__k2	C07M29	H3K9me3	ratio	k2	1	30000000	24.838459164932694	101	0	1	30	1	0.0	2.0	matched	160028104	27.253750051342394	1.0	200	manifest:depth	manifest:read_length	manifest:run_type	chip.wdl v2.2.2 default L178 no_dup_removal = false (picard)	chip.wdl v2.2.2 default L179 mapq_thresh = 30	tools/t112/arms.py:abproxy_n_ctl (off this arm no control read is mixed in)	tools/t112/bam_arm.py:ratio_for (k from manifest:level)	covariates.json:control.source	covariates.json:control.reads	tools/t112/arms.py:knob_value (k = 1: the base fraglen)	manifest:fraglen
C12M02__base__base	C12M02	DNase-seq	base	base	1	50000000	25.575424759098897	76	0	1	30	0	0.0	0.0	none	0	0.0	1.0	150	manifest:depth	manifest:read_length	manifest:run_type	atac.wdl v2.2.3 default L183 no_dup_removal = false (picard)	atac.wdl v2.2.3 default L184 mapq_thresh = 30; multimapping = 4 (atac.wdl v2.2.3 L181) voided the cut on the t112 mapq arms (t119)	none: no control	none: no control	none: no control	none: no control	tools/t112/arms.py:knob_value (k = 1: the base fraglen)	manifest:fraglen
C12M02__dedup__off	C12M02	DNase-seq	dedup	off	1	50000000	25.575424759098897	76	0	0	30	0	0.0	0.0	none	0	0.0	1.0	150	manifest:depth	manifest:read_length	manifest:run_type	manifest:knob_value (atac.no_dup_removal)	atac.wdl v2.2.3 default L184 mapq_thresh = 30; multimapping = 4 (atac.wdl v2.2.3 L181) voided the cut on the t112 mapq arms (t119)	none: no control	none: no control	none: no control	none: no control	tools/t112/arms.py:knob_value (k = 1: the base fraglen)	manifest:fraglen
C12M02__depth__15M	C12M02	DNase-seq	depth	15M	1	15000000	23.838459164932694	76	0	1	30	0	0.0	0.0	none	0	0.0	1.0	150	manifest:depth	manifest:read_length	manifest:run_type	atac.wdl v2.2.3 default L183 no_dup_removal = false (picard)	atac.wdl v2.2.3 default L184 mapq_thresh = 30; multimapping = 4 (atac.wdl v2.2.3 L181) voided the cut on the t112 mapq arms (t119)	none: no control	none: no control	none: no control	none: no control	tools/t112/arms.py:knob_value (k = 1: the base fraglen)	manifest:fraglen
C12M02__depth__3.75M	C12M02	DNase-seq	depth	3.75M	1	3750000	21.838459164932694	76	0	1	30	0	0.0	0.0	none	0	0.0	1.0	150	manifest:depth	manifest:read_length	manifest:run_type	atac.wdl v2.2.3 default L183 no_dup_removal = false (picard)	atac.wdl v2.2.3 default L184 mapq_thresh = 30; multimapping = 4 (atac.wdl v2.2.3 L181) voided the cut on the t112 mapq arms (t119)	none: no control	none: no control	none: no control	none: no control	tools/t112/arms.py:knob_value (k = 1: the base fraglen)	manifest:fraglen
C12M02__depth__7.5M	C12M02	DNase-seq	depth	7.5M	1	7500000	22.838459164932694	76	0	1	30	0	0.0	0.0	none	0	0.0	1.0	150	manifest:depth	manifest:read_length	manifest:run_type	atac.wdl v2.2.3 default L183 no_dup_removal = false (picard)	atac.wdl v2.2.3 default L184 mapq_thresh = 30; multimapping = 4 (atac.wdl v2.2.3 L181) voided the cut on the t112 mapq arms (t119)	none: no control	none: no control	none: no control	none: no control	tools/t112/arms.py:knob_value (k = 1: the base fraglen)	manifest:fraglen
C12M02__extsize__k0.5	C12M02	DNase-seq	extsize	k0.5	1	50000000	25.575424759098897	76	0	1	30	0	0.0	0.0	none	0	0.0	0.5	75	manifest:depth	manifest:read_length	manifest:run_type	atac.wdl v2.2.3 default L183 no_dup_removal = false (picard)	atac.wdl v2.2.3 default L184 mapq_thresh = 30; multimapping = 4 (atac.wdl v2.2.3 L181) voided the cut on the t112 mapq arms (t119)	none: no control	none: no control	none: no control	none: no control	manifest:level (atac.smooth_win = k x base fraglen)	manifest:fraglen
C12M02__extsize__k2	C12M02	DNase-seq	extsize	k2	1	50000000	25.575424759098897	76	0	1	30	0	0.0	0.0	none	0	0.0	2.0	300	manifest:depth	manifest:read_length	manifest:run_type	atac.wdl v2.2.3 default L183 no_dup_removal = false (picard)	atac.wdl v2.2.3 default L184 mapq_thresh = 30; multimapping = 4 (atac.wdl v2.2.3 L181) voided the cut on the t112 mapq arms (t119)	none: no control	none: no control	none: no control	none: no control	manifest:level (atac.smooth_win = k x base fraglen)	manifest:fraglen
